Provincia,Descripcion.de.Linea.del.Negocio,Nombre.de.la.Organizacion,Departamento,valor_inicial,valor_final,Activo,F.Registral,cod_pdn,Distrito,timestamp,length
CAYLLOMA,LACTEOS,ASOCIACION DE CRIADORES Y  PRODUCTORES AGROPECUARIOS DEL DISTRITO DE ICHUPAMPA -CAYLLOMA-AREQUIPA ACPADI,AREQUIPA,"60,000","210,000",VACUNOS,11210774,1,ICHUPAMPA,,
CAYLLOMA,LACTEOS,ASOCIACION DE CRIADORES Y  PRODUCTORES AGROPECUARIOS DEL DISTRITO DE ICHUPAMPA -CAYLLOMA-AREQUIPA ACPADI,AREQUIPA,"350,000","400,000",TERRENOPARA ALFALFARES,11210774,1,ICHUPAMPA,,
CAYLLOMA,LACTEOS,ASOCIACION DE CRIADORES Y  PRODUCTORES AGROPECUARIOS DEL DISTRITO DE ICHUPAMPA -CAYLLOMA-AREQUIPA ACPADI,AREQUIPA,"12,000","20,000",OVINOS,11210774,1,ICHUPAMPA,,
CAYLLOMA,LACTEOS,ASOCIACION DE CRIADORES Y  PRODUCTORES AGROPECUARIOS DEL DISTRITO DE ICHUPAMPA -CAYLLOMA-AREQUIPA ACPADI,AREQUIPA,"24,000","36,000",CORRALES,11210774,1,ICHUPAMPA,,
CAYLLOMA,LACTEOS,ASOCIACION DE CRIADORES Y  PRODUCTORES AGROPECUARIOS DEL DISTRITO DE ICHUPAMPA -CAYLLOMA-AREQUIPA ACPADI,AREQUIPA,"8,900","9,800","ARADO, LAMPA, PICO, BARRETA, CARETILLA,",11210774,1,ICHUPAMPA,,
CONDESUYOS,ARTESANIA TEXTIL,ASOCIACION MUJERES ARTESANAS DE ISPACAS CORAZON,AREQUIPA,"6,000","7,200",MUÑECAS - PRODUCTOS EN STOCK,12019040,10,YANAQUIHUA,,
CONDESUYOS,ARTESANIA TEXTIL,ASOCIACION MUJERES ARTESANAS DE ISPACAS CORAZON,AREQUIPA,"1,800","1,800",SILLAS,12019040,10,YANAQUIHUA,,
CONDESUYOS,ARTESANIA TEXTIL,ASOCIACION MUJERES ARTESANAS DE ISPACAS CORAZON,AREQUIPA,"8,000","8,000",MAQUINARIA TEJEDORA,12019040,10,YANAQUIHUA,,
CONDESUYOS,ARTESANIA TEXTIL,ASOCIACION MUJERES ARTESANAS DE ISPACAS CORAZON,AREQUIPA,0,900,PRODUCTOS EN STOCK,12019040,10,YANAQUIHUA,,
CONDESUYOS,ARTESANIA TEXTIL,ASOCIACION MUJERES ARTESANAS DE ISPACAS CORAZON,AREQUIPA,"15,000","15,000",MAQUINARIA REMALLADORA,12019040,10,YANAQUIHUA,,
CONDESUYOS,ARTESANIA TEXTIL,ASOCIACION MUJERES ARTESANAS DE ISPACAS CORAZON,AREQUIPA,"1,000","1,000",UTENSILIOS MENORES,12019040,10,YANAQUIHUA,,
CONDESUYOS,ARTESANIA TEXTIL,ASOCIACION MUJERES ARTESANAS DE ISPACAS CORAZON,AREQUIPA,"1,600","1,600",MESA,12019040,10,YANAQUIHUA,,
PUNO,LACTEOS,ASOCIACION DE PRODUCTORES AGRICULTORES TRANSFORMACION DE LACTEOS Y ARTESANIAS  LOS ANDES APROLAC,PUNO,113,113,VACAS EN PRODUCCION,11007618,100,PAUCARCOLLA,,
PUNO,LACTEOS,ASOCIACION DE PRODUCTORES AGRICULTORES TRANSFORMACION DE LACTEOS Y ARTESANIAS  LOS ANDES APROLAC,PUNO,98,98,VACAS EN SECA,11007618,100,PAUCARCOLLA,,
PUNO,LACTEOS,ASOCIACION DE PRODUCTORES AGRICULTORES TRANSFORMACION DE LACTEOS Y ARTESANIAS  LOS ANDES APROLAC,PUNO,5,5,FORRAJE AVENA,11007618,100,PAUCARCOLLA,,
PUNO,LACTEOS,ASOCIACION DE PRODUCTORES AGRICULTORES TRANSFORMACION DE LACTEOS Y ARTESANIAS  LOS ANDES APROLAC,PUNO,4,4,FORRAJE CEBADA,11007618,100,PAUCARCOLLA,,
PUNO,LACTEOS,ASOCIACION DE PRODUCTORES AGRICULTORES TRANSFORMACION DE LACTEOS Y ARTESANIAS  LOS ANDES APROLAC,PUNO,360,360,CANCHONES,11007618,100,PAUCARCOLLA,,
PUNO,LACTEOS,ASOCIACION DE PRODUCTORES AGRICULTORES TRANSFORMACION DE LACTEOS Y ARTESANIAS  LOS ANDES APROLAC,PUNO,"3,200","3,200",CARRETILLA,11007618,100,PAUCARCOLLA,,
PUNO,LACTEOS,ASOCIACION DE PRODUCTORES AGRICULTORES TRANSFORMACION DE LACTEOS Y ARTESANIAS  LOS ANDES APROLAC,PUNO,600,600,OLLAS,11007618,100,PAUCARCOLLA,,
PUNO,LACTEOS,ASOCIACION DE PRODUCTORES AGRICULTORES TRANSFORMACION DE LACTEOS Y ARTESANIAS  LOS ANDES APROLAC,PUNO,800,800,PRENSA,11007618,100,PAUCARCOLLA,,
PUNO,LACTEOS,ASOCIACION DE PRODUCTORES AGRICULTORES TRANSFORMACION DE LACTEOS Y ARTESANIAS  LOS ANDES APROLAC,PUNO,300,300,MOLDERAS,11007618,100,PAUCARCOLLA,,
PUNO,LACTEOS,ASOCIACION DE PRODUCTORES AGRICULTORES TRANSFORMACION DE LACTEOS Y ARTESANIAS  LOS ANDES APROLAC,PUNO,"3,000","3,000",MOTO,11007618,100,PAUCARCOLLA,,
PUNO,LACTEOS,ASOCIACION DE PRODUCTORES AGRICULTORES TRANSFORMACION DE LACTEOS Y ARTESANIAS  LOS ANDES APROLAC,PUNO,250,250,PORONGOS,11007618,100,PAUCARCOLLA,,
PUNO,LACTEOS,ASOCIACION DE PRODUCTORES AGRICULTORES TRANSFORMACION DE LACTEOS Y ARTESANIAS  LOS ANDES APROLAC,PUNO,500,500,MESA DE MOLDEO,11007618,100,PAUCARCOLLA,,
PUNO,LACTEOS,ASOCIACION DE PRODUCTORES AGRICULTORES TRANSFORMACION DE LACTEOS Y ARTESANIAS  LOS ANDES APROLAC,PUNO,150,150,COCINA A GAS,11007618,100,PAUCARCOLLA,,
PUNO,LACTEOS,ASOCIACION DE PRODUCTORES AGRICULTORES TRANSFORMACION DE LACTEOS Y ARTESANIAS  LOS ANDES APROLAC,PUNO,113,113,TERRENO CULTIVABLE,11007618,100,PAUCARCOLLA,,
PUNO,LACTEOS,ASOCIACION DE PRODUCTORES AGRICULTORES TRANSFORMACION DE LACTEOS Y ARTESANIAS  LOS ANDES APROLAC,PUNO,98,98,PASTOS NATURALES,11007618,100,PAUCARCOLLA,,
MELGAR,ENGORDE DE VACUNOS,ASOCIACION DE PRODUCTORES AGROPECUARIOS SECTOR COÑEJ - UNO CHAUCA,PUNO,"28,500","32,500",VACAS REPRODUCTORES,11110370,1000,ANTAUTA,,
